Timestamp,Cell_ID,RSRP,SINR,Latency,Throughput,Packet_Loss,Connected_Users
2026-01-01 00:00:00,Cell_01,-86.87,19.43,50.99,126.42,0.0,65
2026-01-01 00:05:00,Cell_01,-84.14,17.31,61.89,109.72,0.48,60
2026-01-01 00:10:00,Cell_01,-86.46,18.87,65.69,111.01,0.52,66
2026-01-01 00:15:00,Cell_01,-80.97,18.33,55.14,99.15,0.48,58
2026-01-01 00:20:00,Cell_01,-83.2,21.37,58.19,122.68,0.19,65
2026-01-01 00:25:00,Cell_01,-84.73,17.07,66.75,112.3,0.74,70
2026-01-01 00:30:00,Cell_01,-82.53,17.72,55.28,95.51,0.4,54
2026-01-01 00:35:00,Cell_01,-82.54,18.49,63.36,116.07,0.13,64
2026-01-01 00:40:00,Cell_01,-85.66,18.14,53.12,115.67,0.55,59
2026-01-01 00:45:00,Cell_01,-83.69,19.32,61.97,115.09,0.38,60
2026-01-01 00:50:00,Cell_01,-84.89,16.49,58.35,105.89,0.52,69
2026-01-01 00:55:00,Cell_01,-85.41,18.55,60.3,124.29,0.55,67
2026-01-01 01:00:00,Cell_01,-85.05,16.83,55.65,104.98,0.35,60
2026-01-01 01:05:00,Cell_01,-82.65,18.21,60.9,112.89,0.02,66
2026-01-01 01:10:00,Cell_01,-86.35,19.23,52.26,89.14,0.62,53
2026-01-01 01:15:00,Cell_01,-86.71,18.01,60.7,111.45,0.65,68
2026-01-01 01:20:00,Cell_01,-83.72,17.52,61.66,102.16,0.33,66
2026-01-01 01:25:00,Cell_01,-80.2,18.09,60.55,102.38,0.49,63
2026-01-01 01:30:00,Cell_01,-83.49,20.35,59.2,118.36,0.18,68
2026-01-01 01:35:00,Cell_01,-82.27,18.36,49.07,82.05,0.33,53
2026-01-01 01:40:00,Cell_01,-77.41,18.66,56.69,129.64,0.44,77
2026-01-01 01:45:00,Cell_01,-85.63,18.3,58.79,114.54,0.37,60
2026-01-01 01:50:00,Cell_01,-85.0,18.65,53.7,105.23,0.56,51
2026-01-01 01:55:00,Cell_01,-86.3,17.63,50.59,110.43,0.47,54
2026-01-01 02:00:00,Cell_01,-83.45,18.06,59.68,120.64,0.54,69
