Timestamp,Cell_ID,RSRP,SINR,Latency,Throughput,Packet_Loss,Connected_Users,Observation,Possible_Root_Cause,Recommended_Action
2026-01-01 00:00:00,Cell_02,-97.91,11.47,114.69,46.92,4.06,47,"High Latency, High Packet Loss","Core network congestion, Backhaul issues","Check UPF utilization, Inspect transport network"
2026-01-01 00:05:00,Cell_04,-103.22,5.68,43.6,32.16,0.0,40,"Low SINR, Low Throughput","High interference, Heavy traffic load","Review neighboring cell configuration, Enable load balancing"
2026-01-01 00:20:00,Cell_04,-107.47,5.44,44.32,44.96,0.0,39,"Low RSRP, Low SINR","Poor radio coverage, High interference","Optimize antenna tilt, Review neighboring cell configuration"
2026-01-01 00:25:00,Cell_04,-106.08,8.17,38.9,51.1,0.0,39,"Low RSRP, Low SINR","Poor radio coverage, High interference","Optimize antenna tilt, Review neighboring cell configuration"
2026-01-01 01:30:00,Cell_04,-105.32,8.05,31.8,44.39,0.24,32,"Low RSRP, Low SINR","Poor radio coverage, High interference","Optimize antenna tilt, Review neighboring cell configuration"
2026-01-01 01:35:00,Cell_04,-109.06,8.1,52.31,50.63,0.98,48,"Low RSRP, Low SINR","Poor radio coverage, High interference","Optimize antenna tilt, Review neighboring cell configuration"
2026-01-01 01:40:00,Cell_04,-106.91,6.92,46.44,57.94,0.0,43,"Low RSRP, Low SINR","Poor radio coverage, High interference","Optimize antenna tilt, Review neighboring cell configuration"
2026-01-01 02:00:00,Cell_04,-89.74,10.01,36.16,53.73,0.0,35,Unusual KPI combination,Requires further investigation,Review all network KPIs
2026-01-01 02:05:00,Cell_04,-104.33,7.05,43.03,22.03,0.62,23,"Low SINR, Low Throughput","High interference, Heavy traffic load","Review neighboring cell configuration, Enable load balancing"
2026-01-01 02:10:00,Cell_04,-105.06,9.82,48.0,47.12,0.0,32,"Low RSRP, Low SINR","Poor radio coverage, High interference","Optimize antenna tilt, Review neighboring cell configuration"
2026-01-01 02:40:00,Cell_04,-106.31,5.51,38.62,44.34,0.73,39,"Low RSRP, Low SINR","Poor radio coverage, High interference","Optimize antenna tilt, Review neighboring cell configuration"
2026-01-01 03:00:00,Cell_04,-103.24,7.45,36.96,28.87,0.1,28,"Low SINR, Low Throughput","High interference, Heavy traffic load","Review neighboring cell configuration, Enable load balancing"
2026-01-01 03:10:00,Cell_04,-101.82,8.82,37.59,20.48,0.39,33,"Low SINR, Low Throughput","High interference, Heavy traffic load","Review neighboring cell configuration, Enable load balancing"
